password,userName,programDescription,programName,programStatus,programDescription1,programName1,programStatus1,programDescription2,programName2,programStatus2,programDescription3,programName3,programStatus3,batchName,batchStatus,batchName1,batchNoOfClasses1,batchName11,userComments,userEduPg,userEduUg,userFirstName,userLastName,userLinkedinUrl,userLocation,userLoginEmail,userMiddleName,userPhoneNumber,roleId,userRoleStatus,userTimeZone,userVisaStatus,UpdatedVisaStatus,UpdateduserRoleStatus,UpdatedroleId
Numpyninja@1,sdetorganizers@gmail.com,,,,,,,,,,,,,learn@#$,active,vbn,247483648,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,,,,,,,,,,,1234@#$,active,vbn,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,,,,,,,,,,,startTest,active,vbj,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,,,,,,,,,,,LMS54,new,dbh,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,,,,,,,,,,,LMS54,@#$,cbb jkoo,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,,,,,,,,,,,LMS54,active123,bnn-nnj,8,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,,,,,,,,,,,,,LMS54,active#$%,cbvn5%^&,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,null,active,chjkw567,9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,bnfj,active,null,10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,chjkd,active,cghd,null,,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,QAautomation,56,Active,QAautomation,March24-HackathonWarriors-SDET-1278,active,SDET,March24-HackathonWarriors-SDET-1111,Active,Testing and automation,March24-HackathonWarriors-SDET-6243,Active,Mar24-HackathonWarriors-SDET-216,active,Mar24-HackathonWarriors-SDET-2116,4,Mar24-HackathonWarriors-SDET-316,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,QAautomation,March24-HackathonWarriors-SDET-1288,Active,QAautomation,March24-HackathonWarriors-SDET-1278,active,SDET,March24-HackathonWarriors-SDET-1111,Active,Testing and automation,March24-HackathonWarriors-SDET-6243,Active,Mar24-HackathonWarriors-SDET-216,active,Mar24-HackathonWarriors-SDET-2116,4,Mar24-HackathonWarriors-SDET-316,,,,,,,,,,,,,,,,,
Numpyninja@1,sdetorganizers@gmail.com,QAautomation,March24-HackathonWarriors-SDET-1288,Active,QAautomation,March24-HackathonWarriors-SDET-1278,active,SDET,March24-HackathonWarriors-SDET-1111,Active,Testing and automation,March24-HackathonWarriors-SDET-6243,Active,Mar24-HackathonWarriors-SDET-216,active,Mar24-HackathonWarriors-SDET-2116,4,Mar24-HackathonWarriors-SDET-316,,,,,,,,,,,,,,,,,
